id видео;Название видео;Публикация видео;Просмотров;Лайков;Дизлайков;Положительных комментариев (всего);Негативных комментариев (всего);Комментарий
ICyWeFTni4o;НА ГРАНИ. Пожизненное ветхое жилье. Проблемы жительницы ул.Ленина, 170;24.06.2015 20:57:09;1693;5;1;0;1;И чо?Ща долгожданная капитализьма - никто никому ничо не обязан! Есть бабло (уворовал) - человек, нет бабла (честный) - живи в коробке и плати за нее.Хотели капитализьму - получите и радуйтесь долгожданному щастию свободы
RlPXmNXXWZk;Влог 13. Разговор с начальством о работе. Ветхое жилье в Апольда.;20.03.2018 2:06:37;125;14;1;0;1;1
RlPXmNXXWZk;Влог 13. Разговор с начальством о работе. Ветхое жилье в Апольда.;20.03.2018 2:06:37;125;14;1;0;1;1 Шефиню &quot;дожал&quot;!))) Молодец)
RlPXmNXXWZk;Влог 13. Разговор с начальством о работе. Ветхое жилье в Апольда.;20.03.2018 2:06:37;125;14;1;0;1;Алексей! МОЛОДЭЦ!!! ТАК ДЕРЖАТь!!! КОмменты все читать) вникать и плохие не принимать близко к сэрдцу) это хэйтэры-это их забава) правильно говоришь--- с коллегами и шефиней надо разговаривать, общатся! Девушка хотела тебя проверить на МОББИНГ) но ты не сдался!) ЛАЙК --1
RlPXmNXXWZk;Влог 13. Разговор с начальством о работе. Ветхое жилье в Апольда.;20.03.2018 2:06:37;125;14;1;0;1;1
RlPXmNXXWZk;Влог 13. Разговор с начальством о работе. Ветхое жилье в Апольда.;20.03.2018 2:06:37;125;14;1;0;1;Судя по брызжущему детской радостью лицу в подробно повторённой дважды истории (вероятно для слабоумных зрителей с синдромом Дауна) главный аспект вчерашнего Лёхиного счастья был не столько в разрешении шефини уходить раньше домой, сколько в &quot;утерении&quot; этим разрешением носа своей коллеги! )))) Психологически это понятно, очень многим людям маленькая месть всегда очень сладка и обычно осчастливливает их на очень длительное время! :)  Кстати, обратиться к шефине нашему Лёхе посоветовала одна из зрительниц, она правда грубо попрала его права на самостоятельное принятие решений, но дала очень дельный совет и Лёха молодец, что к нему прислушался; немцы, включая и начальников всех рангов, нормальные и понимающие проблемы своих коллег люди и практически всегда идут навстречу; с ними надо просто &quot;по-человечески&quot; разговаривать, не стесняться обращаться и все проблемы всегда будут положительно решены... Удачи! 0)
RlPXmNXXWZk;Влог 13. Разговор с начальством о работе. Ветхое жилье в Апольда.;20.03.2018 2:06:37;125;14;1;0;1;Привет, Алексей. Ты уже довольно хорошо можешь общаться на немецком? Например легко ли тебе удалось донести до шефини свою просьбу??
RlPXmNXXWZk;Влог 13. Разговор с начальством о работе. Ветхое жилье в Апольда.;20.03.2018 2:06:37;125;14;1;0;1;1
RlPXmNXXWZk;Влог 13. Разговор с начальством о работе. Ветхое жилье в Апольда.;20.03.2018 2:06:37;125;14;1;0;1;Смотрю тебя из Флориды, люблю тепло. почему на юг Германии не переедешь?
RlPXmNXXWZk;Влог 13. Разговор с начальством о работе. Ветхое жилье в Апольда.;20.03.2018 2:06:37;125;14;1;0;1;сколько в месяц зароботок? или в час?
42jLSL6CS-M;Путин ответил на вопрос из Ижевска про ветхое жилье;15.06.2017 18:02:33;3302;29;7;0;0;Слышь  козел,  лучше бы вместо того чтобы Сирии и Украине помогать,  людям квартиру купил!!!  <a href="http://www.youtube.com/results?search_query=%23%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D1%8F%D0%91%D0%B5%D0%B7%D0%9F%D1%83%D1%82%D0%B8%D0%BD%D0%B0">#РоссияБезПутина</a>!!!
42jLSL6CS-M;Путин ответил на вопрос из Ижевска про ветхое жилье;15.06.2017 18:02:33;3302;29;7;0;0;путин не смог поднять уровень жизни в россии за 17 лет проявления но подарить квартиру перед выборами это в его силах .
42jLSL6CS-M;Путин ответил на вопрос из Ижевска про ветхое жилье;15.06.2017 18:02:33;3302;29;7;0;0;если команда не работает....везде придется заезжать
42jLSL6CS-M;Путин ответил на вопрос из Ижевска про ветхое жилье;15.06.2017 18:02:33;3302;29;7;0;0;Я думаю после слов &quot;я к вам заеду&quot; дом уже через 2 часа снесли и выдали всем по новой квартире!)))))
42jLSL6CS-M;Путин ответил на вопрос из Ижевска про ветхое жилье;15.06.2017 18:02:33;3302;29;7;0;0;может быть нам поднять уровень дохода? что бы люди смогли покупать себе жильё, а не получать в наследство!
ke1a2u7Xcw0;Путин жестко спросит с чиновников за ветхое жилье;21.02.2016 22:39:49;7075;35;13;2;3;Дом гниет, полы проваливаются, крыша протекает, окна продуваю, но при этом хозяева тратят деньги на спутниковое тв, ресивер и телевизор..
ke1a2u7Xcw0;Путин жестко спросит с чиновников за ветхое жилье;21.02.2016 22:39:49;7075;35;13;2;3;НУ ЭТО Ж НАДО?!  ПУТИН СПРОСИТ С ЧИНОВНИКОВ, ЭТО ЖЕ ДОСТИЖЕНИЕ ПУТИН СПРОСИТ?!? А ЧТО ДАЛЬШЕ??? ДАЛЬШЕ ВОПРОСА НИЧЕГО??? НАХЕР НАМ НУЖЕН ТАКОЙ ПРЕЗИДЕНТ, КОТОРЫЙ  КРОМЕ КАК ЗАДАТЬ ВОПРОС  НИЧЕГО НЕ ДЕЛАЕТ??? ПУТИНА ДОЛОЙ!!!    РОССИИ НАРОДНУЮ ВЛАСТЬ!!!!!!!!    РОССИИ НАРОДНУЮ ВЛАСТЬ?!!!!! ПУТИН АНТИНАРОДНЫЙ ПРЕЗИДЕНТ!!!!<br />ДАЕШЬ ПАРЛАМЕНТСКОЕ ПРАВЛЕНИЕ!!!!!
ke1a2u7Xcw0;Путин жестко спросит с чиновников за ветхое жилье;21.02.2016 22:39:49;7075;35;13;2;3;дай боженька здоровья нашему президенту Владимиру Путину .   чтоб был полон духом и сил , с уважением г Иркутск ..........       .......  ...........
ke1a2u7Xcw0;Путин жестко спросит с чиновников за ветхое жилье;21.02.2016 22:39:49;7075;35;13;2;3;Проблема, которая копилась весь 20й век и не может решиться за несколько лет. Иностранцам смешно и непонятно, когда наши чиновники говорят и рапортуют президенту о ветеранах войны наконец-то получивших жильё! Это за 70 лет ветеран не смог ни заработать, ни сам построить приличное жильё.
ke1a2u7Xcw0;Путин жестко спросит с чиновников за ветхое жилье;21.02.2016 22:39:49;7075;35;13;2;3;<b>Путин жестко спросит с чиновников за ветхое жилье..так же как и в 2005 жестко спрашивал за коррупцию..у коррупционеров</b>
ke1a2u7Xcw0;Путин жестко спросит с чиновников за ветхое жилье;21.02.2016 22:39:49;7075;35;13;2;3;Сейчас где-то в Ульяновской области смеется один Губернатор Морозов и плачет коммунист Куринной.
ke1a2u7Xcw0;Путин жестко спросит с чиновников за ветхое жилье;21.02.2016 22:39:49;7075;35;13;2;3;У него уже всё ветхое. Экономика, образование, медицина, Вся Россия ветхая. Он всё спрашивает А оно всё ветшает.
ke1a2u7Xcw0;Путин жестко спросит с чиновников за ветхое жилье;21.02.2016 22:39:49;7075;35;13;2;3;Сообщать некие туманные проекты  оккупационного правительства  в течении стольких лет - это , как минимум цинично.. Правительство всё нужно на дыбу ! вместе со всеми дворковичами..чубайсами грефами..  это же ясно , что они будут лгать и изворачиваться до последнего. = <a href="https://news.mail.ru/economics/24918713/?frommail=1">https://news.mail.ru/economics/24918713/?frommail=1</a> = ПОЧЕМУ ЕЩЁ НИКОГО ПОВЕШЕННЫМИ НЕ ВИДЕЛИ ?!  IT-технологии по прежнему в руках еврейства , так что водить население за нос можно долго разными технологиями и философией прикрывая  тихое разграбление государства.. С Сетевиков , СМИ , ТВ и  IT - операторов надо начинать..((
ke1a2u7Xcw0;Путин жестко спросит с чиновников за ветхое жилье;21.02.2016 22:39:49;7075;35;13;2;3;на выборах надо эмоции выплёскивать. а то тут огого а придёт время все скопом за едросов а потом удивляемся. правительство - дерьмо а кто пред-правительства правильно тот кто и командует едросами так-что до сентября. хотя скоро они какую-нибудь болду вкинут типа свежего сенца скоту а пройдут выборы опять кнут возьмут.
ke1a2u7Xcw0;Путин жестко спросит с чиновников за ветхое жилье;21.02.2016 22:39:49;7075;35;13;2;3;Путин &quot;жестко спросил&quot;, чиновники по прежнему клали на него, ибо таковы роли, Президент &quot;жестко&quot; спрашивает, все остальные делают вид что боятся...
ke1a2u7Xcw0;Путин жестко спросит с чиновников за ветхое жилье;21.02.2016 22:39:49;7075;35;13;2;3;&quot;жестко спросит&quot; кто придумывает названия роликам? закоренелый зек поцефист?
ke1a2u7Xcw0;Путин жестко спросит с чиновников за ветхое жилье;21.02.2016 22:39:49;7075;35;13;2;3;Когда ваще будут сносить хрущувки и 2х 3х этажные дома? они значительно портят вид.
ke1a2u7Xcw0;Путин жестко спросит с чиновников за ветхое жилье;21.02.2016 22:39:49;7075;35;13;2;3;этих чиновников в это ветхое жильё надо переселить, и все проблемы будут решены очень быстро!зажрались сволочи !
ke1a2u7Xcw0;Путин жестко спросит с чиновников за ветхое жилье;21.02.2016 22:39:49;7075;35;13;2;3;аааа чувак, еще ебнул  бы по лобешнику зампреда зампреда  председателя!!!  кирдыккрайнего района,  охренитьненужной области!!!........вот тут-то мы повеселились бы!!!!
ke1a2u7Xcw0;Путин жестко спросит с чиновников за ветхое жилье;21.02.2016 22:39:49;7075;35;13;2;3;не добросовестных работодателей, которые над людьми за копейки издеваются тоже надо сажать
ke1a2u7Xcw0;Путин жестко спросит с чиновников за ветхое жилье;21.02.2016 22:39:49;7075;35;13;2;3;Почему именно Забайкальский край и Карелия? На карте России в любое место пальцем ткни, будет такая же проблема. В любом другом городе, регионе таких проблемных жилищ не меньше, чем в Забайкалье и Карелии...
ke1a2u7Xcw0;Путин жестко спросит с чиновников за ветхое жилье;21.02.2016 22:39:49;7075;35;13;2;3;какой нафик выговор??? Тюрма! На срок - до постройки новых квартир! И не надо бояться непопулярных мер!
ke1a2u7Xcw0;Путин жестко спросит с чиновников за ветхое жилье;21.02.2016 22:39:49;7075;35;13;2;3;твари конченные, чтобы ваши дети холодильники с толкача заводили за такое отношение к людям. Когда уже за не выполнение своих прямых обязонностей, будут сажать на 10 лет с полной конфискацией имущества?! Почему кто-то богатеет, а кто-то за водой всю жизнь на колонку ходит. Суки чиновники, что бы у вас у всех одно место по отваливалось
K9CZwU6K4fE;Переселили по программе в "ветхое жилье"?;07.11.2016 13:36:54;3069;16;0;0;0;про автобусы расскажи как они ходят в туру
K9CZwU6K4fE;Переселили по программе в "ветхое жилье"?;07.11.2016 13:36:54;3069;16;0;0;0;Молодец!!! а админы посела Ис пусть зажрутся холявой...скоро придет к нам проклятие...Оля читаешь ...ПРИВЕТ!!!
K9CZwU6K4fE;Переселили по программе в "ветхое жилье"?;07.11.2016 13:36:54;3069;16;0;0;0;Автор, молодец
K9CZwU6K4fE;Переселили по программе в "ветхое жилье"?;07.11.2016 13:36:54;3069;16;0;0;0;Пермские правозащитни